title	maxNodes	timesteps	depthCategory	sizeVarianceCategory	sizeChangeCategory	dataChangeCategory
wb-SL.UEM.TOTL.MA.NE.ZS	129	58	2 or 3 levels	High variance	Regular size change	Spiky data change
wb-SL.UEM.TOTL.NE.ZS	138	58	2 or 3 levels	High variance	Regular size change	Spiky data change
wb-SM.POP.REFG.OR	197	27	2 or 3 levels	High variance	Regular size change	Spiky data change
wb-TM.TAX.MANF.SM.AR.ZS	158	29	2 or 3 levels	High variance	Regular size change	Spiky data change
wb-TM.TAX.MANF.SM.FN.ZS	159	29	2 or 3 levels	High variance	Regular size change	Spiky data change
wb-TM.TAX.MANF.WM.AR.ZS	158	29	2 or 3 levels	High variance	Regular size change	Spiky data change
wb-TM.TAX.MANF.WM.FN.ZS	158	29	2 or 3 levels	High variance	Regular size change	Spiky data change
wb-TM.TAX.MRCH.IP.ZS	156	29	2 or 3 levels	High variance	Regular size change	Spiky data change
wb-TM.TAX.MRCH.SM.AR.ZS	159	29	2 or 3 levels	High variance	Regular size change	Spiky data change
wb-TM.TAX.MRCH.SM.FN.ZS	160	29	2 or 3 levels	High variance	Regular size change	Spiky data change
wb-TM.TAX.MRCH.WM.FN.ZS	159	29	2 or 3 levels	High variance	Regular size change	Spiky data change
wb-TM.TAX.TCOM.SM.AR.ZS	159	29	2 or 3 levels	High variance	Regular size change	Spiky data change
wb-TM.TAX.TCOM.SM.FN.ZS	160	29	2 or 3 levels	High variance	Regular size change	Spiky data change
wb-TM.VAL.INSF.ZS.WT	179	58	2 or 3 levels	High variance	Regular size change	Spiky data change
wb-TM.VAL.OTHR.ZS.WT	182	58	2 or 3 levels	High variance	Regular size change	Spiky data change
wb-TM.VAL.SERV.CD.WT	185	58	2 or 3 levels	High variance	Regular size change	Spiky data change
wb-TM.VAL.TRAN.ZS.WT	181	58	2 or 3 levels	High variance	Regular size change	Spiky data change
wb-TM.VAL.TRVL.ZS.WT	182	58	2 or 3 levels	High variance	Regular size change	Spiky data change
wb-TX.QTY.MRCH.XD.WD	202	37	2 or 3 levels	High variance	Regular size change	Spiky data change
wb-TX.VAL.MRCH.XD.WD	202	37	2 or 3 levels	High variance	Regular size change	Spiky data change
wb-TX.VAL.OTHR.ZS.WT	182	58	2 or 3 levels	High variance	Regular size change	Spiky data change
wb-TX.VAL.SERV.CD.WT	185	58	2 or 3 levels	High variance	Regular size change	Spiky data change
wb-TX.VAL.TRAN.ZS.WT	180	58	2 or 3 levels	High variance	Regular size change	Spiky data change
wb-TX.VAL.TRVL.ZS.WT	181	58	2 or 3 levels	High variance	Regular size change	Spiky data change
wb-AG.CON.FERT.ZS	163	14	2 or 3 levels	High variance	Spiky size change	Low data change
wb-BX.GRT.EXTA.CD.WD	174	57	2 or 3 levels	High variance	Spiky size change	Low data change
wb-BX.KLT.DINV.CD.WD	201	48	2 or 3 levels	High variance	Spiky size change	Low data change
wb-BX.KLT.DINV.WD.GD.ZS	192	48	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DC.DAC.TOTL.CD	166	57	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.AMT.BLAT.CD	117	48	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.AMT.BLTC.CD	117	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.AMT.DLTF.CD	122	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.AMT.DLXF.CD	122	48	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.AMT.DPPG.CD	122	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.AMT.MLAT.CD	121	48	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.AMT.OFFT.CD	122	48	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.DIS.DLTF.CD	122	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.DIS.DLXF.CD	121	48	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.DIS.DPPG.CD	120	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.DIS.MLAT.CD	117	48	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.DIS.MLTC.CD	109	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.DIS.OFFT.CD	120	48	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.INT.BLAT.CD	119	48	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.INT.BLTC.CD	119	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.INT.DECT.GN.ZS	120	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.INT.DPNG.CD	77	48	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.INT.PNGC.CD	72	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.NFL.BLAT.CD	118	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.NFL.BLTC.CD	118	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.NFL.DECT.CD	123	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.NFL.DLXF.CD	122	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.NFL.DPPG.CD	122	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.NFL.MIBR.CD	91	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.NFL.MIDA.CD	100	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.NFL.MLAT.CD	123	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.NFL.MLTC.CD	118	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.NFL.OFFT.CD	122	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.NFL.PCBO.CD	102	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.NFL.UNCF.CD	124	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.NFL.UNDP.CD	160	49	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.NTR.BLAT.CD	119	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.NTR.BLTC.CD	119	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.NTR.DECT.CD	123	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.NTR.DLXF.CD	122	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.NTR.DPNG.CD	79	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.NTR.DPPG.CD	122	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.NTR.MIBR.CD	76	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.NTR.MIDA.CD	96	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.NTR.MLAT.CD	122	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.NTR.MLTC.CD	118	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.NTR.OFFT.CD	122	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.NTR.PNGC.CD	76	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.NTR.PRVT.CD	101	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.ODA.ALLD.CD	176	57	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.ODA.ALLD.KD	176	57	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.ODA.ODAT.CD	163	57	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.ODA.ODAT.GI.ZS	122	57	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.ODA.ODAT.GN.ZS	141	57	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.ODA.ODAT.KD	163	57	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.ODA.ODAT.PC.ZS	163	57	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.TDS.BLAT.CD	119	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.TDS.BLTC.CD	119	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.TDS.DECT.GN.ZS	121	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.TDS.DPNG.CD	76	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.TDS.DPPG.CD	123	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.TDS.DPPG.GN.ZS	121	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.TDS.MLTC.CD	117	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.TDS.OFFT.CD	122	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-DT.TDS.PNGC.CD	74	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-EN.ATM.GHGO.KT.CE	198	43	2 or 3 levels	High variance	Spiky size change	Low data change
wb-EN.ATM.GHGO.ZG	188	22	2 or 3 levels	High variance	Spiky size change	Low data change
wb-EN.ATM.GHGT.ZG	188	22	2 or 3 levels	High variance	Spiky size change	Low data change
wb-EN.ATM.METH.ZG	204	22	2 or 3 levels	High variance	Spiky size change	Low data change
wb-EN.ATM.NOXE.ZG	204	22	2 or 3 levels	High variance	Spiky size change	Low data change
wb-FD.RES.LIQU.AS.ZS	135	17	2 or 3 levels	High variance	Spiky size change	Low data change
wb-FI.RES.TOTL.DT.ZS	110	46	2 or 3 levels	High variance	Spiky size change	Low data change
wb-FM.AST.CGOV.ZG.M3	163	57	2 or 3 levels	High variance	Spiky size change	Low data change
wb-FM.AST.DOMO.ZG.M3	134	16	2 or 3 levels	High variance	Spiky size change	Low data change
wb-FM.AST.NFRG.CN	180	58	2 or 3 levels	High variance	Spiky size change	Low data change
wb-FM.AST.PRVT.ZG.M3	163	57	2 or 3 levels	High variance	Spiky size change	Low data change
wb-FM.LBL.BMNY.IR.ZS	149	58	2 or 3 levels	High variance	Spiky size change	Low data change
wb-FM.LBL.BMNY.ZG	163	57	2 or 3 levels	High variance	Spiky size change	Low data change
wb-FP.CPI.TOTL.ZG	183	57	2 or 3 levels	High variance	Spiky size change	Low data change
wb-FS.AST.CGOV.GD.ZS	180	58	2 or 3 levels	High variance	Spiky size change	Low data change
wb-IT.NET.SECR.P6	210	8	2 or 3 levels	High variance	Spiky size change	Low data change
wb-NE.CON.GOVT.KD.ZG	160	57	2 or 3 levels	High variance	Spiky size change	Low data change
wb-NE.CON.TOTL.CN	177	58	2 or 3 levels	High variance	Spiky size change	Low data change
wb-NE.DAB.TOTL.CN	177	58	2 or 3 levels	High variance	Spiky size change	Low data change
wb-NE.EXP.GNFS.KD.ZG	164	57	2 or 3 levels	High variance	Spiky size change	Low data change
wb-NE.EXP.GNFS.KN	166	58	2 or 3 levels	High variance	Spiky size change	Low data change
wb-NE.GDI.TOTL.CN	177	58	2 or 3 levels	High variance	Spiky size change	Low data change
wb-NE.IMP.GNFS.KD.ZG	164	57	2 or 3 levels	High variance	Spiky size change	Low data change
wb-NE.RSB.GNFS.CD	192	58	2 or 3 levels	High variance	Spiky size change	Low data change
wb-NE.RSB.GNFS.CN	192	58	2 or 3 levels	High variance	Spiky size change	Low data change
wb-NE.RSB.GNFS.KN	166	58	2 or 3 levels	High variance	Spiky size change	Low data change
wb-NE.RSB.GNFS.ZS	192	58	2 or 3 levels	High variance	Spiky size change	Low data change
wb-NY.EXP.CAPM.KN	166	58	2 or 3 levels	High variance	Spiky size change	Low data change
wb-NY.GDP.DEFL.KD.ZG.AD	202	28	2 or 3 levels	High variance	Spiky size change	Low data change
wb-NY.GDP.DEFL.KD.ZG	202	57	2 or 3 levels	High variance	Spiky size change	Low data change
wb-NY.GDP.MKTP.CN	206	58	2 or 3 levels	High variance	Spiky size change	Low data change
wb-NY.GDP.MKTP.KD.ZG	202	57	2 or 3 levels	High variance	Spiky size change	Low data change
wb-NY.GDP.PCAP.KD.ZG	202	57	2 or 3 levels	High variance	Spiky size change	Low data change
wb-NY.GDP.TOTL.RT.ZS	183	47	2 or 3 levels	High variance	Spiky size change	Low data change
wb-NY.GDS.TOTL.CN	177	58	2 or 3 levels	High variance	Spiky size change	Low data change
wb-NY.GNP.MKTP.CN	197	58	2 or 3 levels	High variance	Spiky size change	Low data change
wb-NY.GSR.NFCY.CD	190	58	2 or 3 levels	High variance	Spiky size change	Low data change
wb-NY.GSR.NFCY.CN	190	58	2 or 3 levels	High variance	Spiky size change	Low data change
wb-SM.POP.NETM	193	11	2 or 3 levels	High variance	Spiky size change	Low data change
tmbd-yearly-count-release-children	745	20	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-BM.KLT.DINV.CD.WD	175	48	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-BM.KLT.DINV.WD.GD.ZS	166	48	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DC.DAC.CANL.CD	146	57	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DC.DAC.GBRL.CD	139	57	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DC.DAC.JPNL.CD	156	57	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DC.DAC.USAL.CD	147	57	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.AMT.DPNG.CD	78	48	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.AMT.MIBR.CD	71	47	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.AMT.PCBK.CD	79	48	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.AMT.PNGC.CD	73	47	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.AMT.PROP.CD	89	48	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.AMT.PRVT.CD	93	48	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.AXA.DPPG.CD	96	47	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.AXA.OFFT.CD	93	47	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.AXA.PRVT.CD	83	47	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.COM.DPPG.CD	115	47	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.COM.OFFT.CD	113	47	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.CUR.SWFR.ZS	72	47	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.DIS.BLAT.CD	111	48	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.DIS.BLTC.CD	111	47	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.DIS.DPNG.CD	71	47	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.DIS.MIBR.CD	58	47	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.DIS.MIDA.CD	72	47	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.DIS.PNGC.CD	70	47	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.DIS.PRVT.CD	85	48	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.INT.PBND.CD	68	48	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.INT.PCBK.CD	83	48	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.INT.PROP.CD	89	48	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.INT.PRVT.CD	95	48	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.IXA.DPPG.CD	99	47	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.IXA.OFFT.CD	96	47	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.IXA.PRVT.CD	84	47	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.NFL.DPNG.CD	77	47	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.NFL.PCBK.CD	84	47	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.NFL.PNGC.CD	76	47	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.NFL.PROP.CD	93	47	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.NFL.PRVT.CD	96	47	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.NFL.RDBC.CD	89	47	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.NFL.RDBN.CD	81	47	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.NFL.UNFP.CD	142	38	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.NFL.WFPG.CD	101	48	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.NTR.PBND.CD	69	47	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.NTR.PCBK.CD	86	47	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.NTR.PROP.CD	93	47	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.ODA.ODAT.XP.ZS	97	45	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.TDS.PBND.CD	66	47	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.TDS.PCBK.CD	84	47	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.TDS.PROP.CD	93	47	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.TDS.PRVT.CD	99	47	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-DT.UND.PRVT.CD	82	47	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-FR.INR.RISK	66	58	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-GC.LBL.TOTL.CN	128	46	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-GC.LBL.TOTL.GD.ZS	128	46	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-GC.NFN.TOTL.GD.ZS	142	46	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-GC.NLD.TOTL.CN	138	46	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-GC.NLD.TOTL.GD.ZS	138	46	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-GC.REV.GOTR.CN	131	46	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-GC.REV.SOCL.CN	87	46	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-NY.ADJ.DMIN.CD	129	47	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-NY.ADJ.DMIN.GN.ZS	124	47	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-NY.GDP.DISC.CN	143	58	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-NY.GDP.MINR.RT.ZS	125	47	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-TM.VAL.MRCH.AL.ZS	201	57	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-TM.VAL.MRCH.R2.ZS	205	57	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-TM.VAL.MRCH.R4.ZS	196	57	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-TM.VAL.MRCH.R5.ZS	203	57	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-TM.VAL.MRCH.R6.ZS	205	57	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-TM.VAL.MRCH.RS.ZS	190	57	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-TX.VAL.MRCH.AL.ZS	203	57	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-TX.VAL.MRCH.OR.ZS	205	57	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-TX.VAL.MRCH.R1.ZS	203	57	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-TX.VAL.MRCH.R2.ZS	203	57	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-TX.VAL.MRCH.R3.ZS	202	57	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-TX.VAL.MRCH.R4.ZS	200	57	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-TX.VAL.MRCH.R5.ZS	202	57	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-TX.VAL.MRCH.R6.ZS	203	57	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-TX.VAL.MRCH.RS.ZS	189	57	2 or 3 levels	High variance	Spiky size change	Regular data change
wb-TX.VAL.TECH.MF.ZS	158	29	2 or 3 levels	High variance	Spiky size change	Regular data change
atp-losses-country-player	587	50	2 or 3 levels	High variance	Spiky size change	Spiky data change
atp-wins-country-player	403	50	2 or 3 levels	High variance	Spiky size change	Spiky data change
gh-animate.css-m	82	55	2 or 3 levels	High variance	Spiky size change	Spiky data change
gh-fetch-m	15	38	2 or 3 levels	High variance	Spiky size change	Spiky data change
gh-mobx-m	36	41	2 or 3 levels	High variance	Spiky size change	Spiky data change
gh-preact-m	43	37	2 or 3 levels	High variance	Spiky size change	Spiky data change
gh-react-dates-m	99	28	2 or 3 levels	High variance	Spiky size change	Spiky data change
gh-react-redux-m	31	35	2 or 3 levels	High variance	Spiky size change	Spiky data change
gh-standard-m	11	42	2 or 3 levels	High variance	Spiky size change	Spiky data change
gh-svgo-m	69	61	2 or 3 levels	High variance	Spiky size change	Spiky data change
gh-UITableView-FDTemplateLayoutCell-m	18	11	2 or 3 levels	High variance	Spiky size change	Spiky data change
gh-upterm-m	22	46	2 or 3 levels	High variance	Spiky size change	Spiky data change
gh-vimium-m	76	99	2 or 3 levels	High variance	Spiky size change	Spiky data change
GitHubStandard	8	29	2 or 3 levels	High variance	Spiky size change	Spiky data change
tmbd-monthly-count-release-00stonow	5338	188	2 or 3 levels	High variance	Spiky size change	Spiky data change
tmbd-monthly-count-release-2krand	792	230	2 or 3 levels	High variance	Spiky size change	Spiky data change
tmbd-monthly-count-release-4plusgenres	1365	230	2 or 3 levels	High variance	Spiky size change	Spiky data change
tmbd-monthly-count-release-60sto80s	2509	230	2 or 3 levels	High variance	Spiky size change	Spiky data change
tmbd-monthly-count-release-90s	2560	231	2 or 3 levels	High variance	Spiky size change	Spiky data change
tmbd-monthly-count-release-action	1773	230	2 or 3 levels	High variance	Spiky size change	Spiky data change
tmbd-monthly-count-release-children	620	230	2 or 3 levels	High variance	Spiky size change	Spiky data change
tmbd-monthly-count-release-documentaries	574	229	2 or 3 levels	High variance	Spiky size change	Spiky data change
tmbd-monthly-std-release-00stonow	3329	188	2 or 3 levels	High variance	Spiky size change	Spiky data change
tmbd-monthly-std-release-2krand	460	230	2 or 3 levels	High variance	Spiky size change	Spiky data change
tmbd-monthly-std-release-4plusgenres	1027	230	2 or 3 levels	High variance	Spiky size change	Spiky data change
tmbd-monthly-std-release-60sto80s	2061	230	2 or 3 levels	High variance	Spiky size change	Spiky data change
tmbd-monthly-std-release-90s	2140	231	2 or 3 levels	High variance	Spiky size change	Spiky data change
tmbd-monthly-std-release-action	1231	230	2 or 3 levels	High variance	Spiky size change	Spiky data change
tmbd-monthly-std-release-children	417	230	2 or 3 levels	High variance	Spiky size change	Spiky data change
tmbd-monthly-std-release-documentaries	223	229	2 or 3 levels	High variance	Spiky size change	Spiky data change
tmbd-yearly-count-genres-nogenre	9	5	2 or 3 levels	High variance	Spiky size change	Spiky data change
tmbd-yearly-count-release-00stonow	7663	17	2 or 3 levels	High variance	Spiky size change	Spiky data change
tmbd-yearly-count-release-2krand	1205	20	2 or 3 levels	High variance	Spiky size change	Spiky data change
tmbd-yearly-count-release-4plusgenres	1685	20	2 or 3 levels	High variance	Spiky size change	Spiky data change
tmbd-yearly-count-release-60sto80s	4051	21	2 or 3 levels	High variance	Spiky size change	Spiky data change
tmbd-yearly-count-release-90s	3400	21	2 or 3 levels	High variance	Spiky size change	Spiky data change
tmbd-yearly-count-release-action	2415	20	2 or 3 levels	High variance	Spiky size change	Spiky data change
tmbd-yearly-count-release-documentaries	1236	20	2 or 3 levels	High variance	Spiky size change	Spiky data change
tmbd-yearly-count-release-nogenre	9	5	2 or 3 levels	High variance	Spiky size change	Spiky data change
tmbd-yearly-std-release-documentaries	737	20	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-AG.CON.FERT.PT.ZS	80	15	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-BN.CAB.XOKA.CD	185	58	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-BN.CAB.XOKA.GD.ZS	181	58	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-BN.FIN.TOTL.CD	185	58	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-BN.GSR.GNFS.CD	185	58	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-BN.GSR.MRCH.CD	185	58	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-BN.KAC.EOMS.CD	185	58	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-BN.KLT.DINV.CD	184	58	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-BN.KLT.PTXL.CD	171	58	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-BN.RES.INCL.CD	183	58	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-BN.TRF.KOGT.CD	166	58	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-BX.GRT.TECH.CD.WD	176	57	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-BX.GSR.INSF.ZS	169	58	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-BX.KLT.DREM.CD.DT	109	47	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-BX.PEF.TOTL.CD.WD	121	58	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-CM.MKT.INDX.ZG	82	28	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-CM.MKT.TRAD.GD.ZS	83	43	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-CM.MKT.TRNR	78	43	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-DC.DAC.AUTL.CD	119	56	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-DC.DAC.BELL.CD	124	57	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-DC.DAC.CECL.CD	153	57	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-DC.DAC.CHEL.CD	116	55	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-DC.DAC.CZEL.CD	104	12	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-DC.DAC.DEUL.CD	153	57	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-DC.DAC.DNKL.CD	98	57	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-DC.DAC.ESPL.CD	127	30	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-DC.DAC.FINL.CD	122	46	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-DC.DAC.FRAL.CD	156	57	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-DC.DAC.GRCL.CD	124	21	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-DC.DAC.IRLL.CD	96	43	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-DC.DAC.ITAL.CD	122	57	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-DC.DAC.KORL.CD	132	29	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-DC.DAC.LUXL.CD	90	27	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-DC.DAC.NLDL.CD	144	56	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-DC.DAC.NORL.CD	119	57	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-DC.DAC.NZLL.CD	94	45	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-DC.DAC.PRTL.CD	58	32	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-DC.DAC.SWEL.CD	125	56	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-DT.AMT.DIMF.CD	82	47	2 or 3 levels	High variance	Spiky size change	Spiky data change
wb-DT.AMT.MLTC.CD	114	47	2 or 3 levels	High variance	Spiky size change	Spiky data change
